Year,Obs Date,Weir Count Type,Maturity,Count
1989,9/21/1989,Counted live,Adult,30
1989,9/22/1989,Counted live,Adult,7
1989,9/23/1989,Counted live,Adult,3
1989,9/24/1989,Counted live,Adult,3
1989,9/25/1989,Counted live,Adult,4
1989,9/26/1989,Counted live,Adult,1
1989,9/27/1989,Counted live,Adult,1
1989,9/29/1989,Counted live,Adult,31
1989,10/2/1989,Counted live,Adult,1
1989,10/3/1989,Counted live,Adult,1
1989,10/4/1989,Counted live,Adult,5
1989,10/7/1989,Counted live,Adult,1
1989,10/8/1989,Counted live,Adult,27
1989,10/10/1989,Counted live,Adult,3
1989,10/11/1989,Counted live,Adult,6
1989,10/12/1989,Counted live,Adult,2
1989,10/13/1989,Counted live,Adult,4
1989,10/14/1989,Counted live,Adult,5
1989,10/16/1989,Counted live,Adult,6
1989,10/17/1989,Counted live,Adult,9
1989,10/18/1989,Counted live,Adult,6
1989,10/19/1989,Counted live,Adult,3
1989,10/20/1989,Counted live,Adult,2
1989,10/21/1989,Counted live,Adult,1
1989,10/24/1989,Counted live,Adult,2
1990,7/27/1990,Counted live,Adult,1
1990,8/7/1990,Counted live,Adult,1
1990,8/9/1990,Counted live,Adult,1
1990,8/11/1990,Counted live,Adult,3
1990,8/14/1990,Counted live,Adult,1
1990,8/16/1990,Counted live,Adult,4
1990,8/22/1990,Counted live,Adult,1
1990,8/24/1990,Counted live,Adult,6
1990,8/26/1990,Counted live,Adult,4
1990,8/27/1990,Counted live,Adult,3
1990,8/28/1990,Counted live,Adult,11
1990,8/29/1990,Counted live,Adult,1
1990,8/30/1990,Counted live,Adult,14
1990,8/31/1990,Counted live,Adult,1
1990,9/1/1990,Counted live,Adult,1
1990,9/3/1990,Counted live,Adult,1
1990,9/4/1990,Counted live,Adult,11
1990,9/5/1990,Counted live,Adult,9
1990,9/6/1990,Counted live,Adult,11
1990,9/7/1990,Counted live,Adult,4
1990,9/8/1990,Counted live,Adult,9
1990,9/9/1990,Counted live,Adult,54
1990,9/10/1990,Counted live,Adult,42
1990,9/11/1990,Counted live,Adult,4
1990,9/12/1990,Counted live,Adult,8
1990,9/13/1990,Counted live,Adult,1
1990,9/15/1990,Counted live,Adult,9
1990,9/16/1990,Counted live,Adult,6
1990,9/17/1990,Counted live,Adult,13
1990,9/18/1990,Counted live,Adult,5
1990,9/19/1990,Counted live,Adult,4
1990,9/20/1990,Counted live,Adult,10
1990,9/21/1990,Counted live,Adult,4
1990,9/22/1990,Counted live,Adult,4
1990,9/23/1990,Counted live,Adult,1
